iter	MultiClass
0	1.050865253
1	1.048555187
2	1.026410174
3	0.9776206029
4	0.9472249325
5	0.9457950416
6	0.9445267569
7	0.9138394624
8	0.9001736958
9	0.8851435378
10	0.8704437881
11	0.8697162376
12	0.8690696022
13	0.8314233616
14	0.8309076307
15	0.8132304011
16	0.8128217918
17	0.7973920063
18	0.7970678526
19	0.7967793945
20	0.7965226802
21	0.7962941998
22	0.7808199629
23	0.7627819675
24	0.7407622368
25	0.7406110952
26	0.7260224806
27	0.7259000296
28	0.7016221752
29	0.7015222141
30	0.7014331806
31	0.6825438495
32	0.6824720111
33	0.6824080185
34	0.6823510144
35	0.6823002355
36	0.6822550015
37	0.6795672337
38	0.6795300379
39	0.6561822739
40	0.6561520075
41	0.6453034917
42	0.6329621856
43	0.6260003573
44	0.6259802157
45	0.6099181974
46	0.6099018357
47	0.6042365917
48	0.6042231642
49	0.5999987394
50	0.5914763068
51	0.59146756
52	0.5843680135
53	0.5843594452
54	0.5843518075
55	0.5843449994
56	0.5777470409
57	0.5709349077
58	0.5709300053
59	0.5611666176
60	0.5523967533
61	0.5523927012
62	0.5523890881
63	0.5417138836
64	0.5417109865
65	0.536824091
66	0.5368207412
67	0.5288805069
68	0.5196115374
69	0.5196086111
70	0.5196059995
71	0.5104431558
72	0.5104408852
73	0.5037768706
74	0.4986018534
75	0.4985993097
76	0.4925301456
77	0.4836122247
78	0.483609515
79	0.4836070949
80	0.4698289258
81	0.4698269534
82	0.4698251915
83	0.4625975902
84	0.4526897169
85	0.4451746323
86	0.4410066514
87	0.44100499
88	0.4325090094
89	0.4325076732
90	0.432506479
91	0.4325054116
92	0.4325044576
93	0.4295219917
94	0.4259940352
95	0.4259935504
96	0.425993117
97	0.4226439992
98	0.4226434845
99	0.4226430243
100	0.4226426128
101	0.4204299198
102	0.4204294578
103	0.4204290447
104	0.4204286754
105	0.415034339
106	0.4060287142
107	0.4041574408
108	0.404157329
109	0.404157229
110	0.3969186194
111	0.3969183563
112	0.3969181209
113	0.3969179103
114	0.3969177218
115	0.3945794459
116	0.3876906878
117	0.3792677315
118	0.3792667844
119	0.3735596693
120	0.3725212727
121	0.3725207295
122	0.3642849707
123	0.3642845502
124	0.3592796576
125	0.3592793033
126	0.3583906119
127	0.3552387544
128	0.3491014817
129	0.3462883526
130	0.3462880878
131	0.3429648327
132	0.3429646444
133	0.3410414656
134	0.3352233899
135	0.3352232593
136	0.3342029092
137	0.3320876424
138	0.3265760506
139	0.3200755726
140	0.3185880281
141	0.3181140027
142	0.3133233762
143	0.3108308978
144	0.3081683989
145	0.305322725
146	0.3022050887
147	0.3022044259
148	0.3022038309
149	0.3022032967
150	0.2977814489
151	0.297780748
152	0.2939392854
153	0.2939388776
154	0.2927111619
155	0.2927106785
156	0.2927102446
157	0.29038016
158	0.2882181475
159	0.2858840359
160	0.2831750079
161	0.2831746656
162	0.2805021636
163	0.2774862968
164	0.2756559785
165	0.2718717415
166	0.2709324539
167	0.2709317267
168	0.2676026411
169	0.2673312429
170	0.2673306856
171	0.2655071904
172	0.2655067332
173	0.2655063231
174	0.2655059553
175	0.2655056256
176	0.2642430244
177	0.2640011073
178	0.2593174369
179	0.2550903943
180	0.2550898277
